DATE,CSUSHPISA,inflation_rate,monthly_supply_newhouses,mortgage_originations_HP,mortgage_rate_30,rent_index,ppi_buildingmaterials,unemployment_rate,building_permits
01-01-2000,100.552,2.7,4.3,290,,180.9,,4,"1,727"
01-02-2000,101.339,3.2,4.3,335,,181.3,,4.1,"1,692"
01-03-2000,102.127,3.8,4.3,416,,181.9,,4,"1,651"
01-04-2000,102.922,3.1,4.4,407,8.1525,182.3,,3.8,"1,597"
01-05-2000,103.677,3.2,4.4,462,8.515,182.8,,4,"1,543"
01-06-2000,104.424,3.7,4.8,491,8.288,183.4,,4,"1,572"
01-07-2000,105.053,3.7,4.1,431,8.1475,184.1,,4,"1,542"
01-08-2000,105.767,3.4,4.4,471,8.0275,184.8,,4.1,"1,552"
01-09-2000,106.538,3.5,4,416,7.912,185.4,,3.9,"1,570"
01-10-2000,107.382,3.4,4,400,7.795,186.1,,3.9,"1,577"
01-11-2000,108.302,3.4,4.2,374,7.745,186.7,,3.9,"1,614"
01-12-2000,109.14,3.4,3.6,360,7.382,187.4,,3.9,"1,543"
01-01-2001,109.845,3.7,3.8,289,7.0325,188,,4.2,"1,699"
01-02-2001,110.499,3.5,3.7,314,7.05,188.7,,4.2,"1,656"
01-03-2001,111.107,2.9,3.8,414,6.952,189.5,,4.3,"1,659"
01-04-2001,111.651,3.3,3.9,425,7.0775,190.2,,4.4,"1,666"
01-05-2001,112.163,3.6,4,481,7.145,191.1,,4.3,"1,665"
01-06-2001,112.796,3.2,4.2,514,7.16,191.8,,4.5,"1,626"
01-07-2001,113.491,2.7,4.2,488,7.1275,192.5,,4.6,"1,598"
01-08-2001,114.166,2.7,4.4,518,6.95,193.2,,4.9,"1,615"
01-09-2001,114.811,2.6,4.4,407,6.8175,194,,5,"1,565"
01-10-2001,115.308,2.1,4.3,419,6.6175,194.7,,5.3,"1,566"
01-11-2001,115.855,1.9,4.1,395,6.658,195.4,,5.5,"1,651"
01-12-2001,116.454,1.6,3.8,381,7.065,196.2,,5.7,"1,680"
01-01-2002,117.143,1.1,4.2,347,6.9975,196.8,,5.7,"1,665"
01-02-2002,117.845,1.1,4,342,6.8925,197.5,,5.7,"1,787"
01-03-2002,118.687,1.5,4.1,413,7.014,198.1,,5.7,"1,691"
01-04-2002,119.611,1.6,4.3,450,6.985,198.5,,5.9,"1,669"
01-05-2002,120.724,1.2,4,485,6.806,198.9,,5.8,"1,716"
01-06-2002,121.813,1.1,4.2,467,6.65,199.5,,5.8,"1,758"
01-07-2002,122.888,1.5,4.2,481,6.485,200,,5.8,"1,738"
01-08-2002,123.831,1.8,4,492,6.29,200.3,,5.7,"1,695"
01-09-2002,124.78,1.5,3.9,434,6.0925,200.8,,5.7,"1,803"
01-10-2002,125.734,2,4,444,6.1125,201.3,,5.7,"1,799"
01-11-2002,126.669,2.2,4,384,6.068,201.9,,5.9,"1,771"
01-12-2002,127.623,2.4,4,407,6.0475,202.4,,6,"1,896"
01-01-2003,128.461,2.6,4,346,5.916,203.2,,5.8,"1,808"
01-02-2003,129.356,3,4.5,337,5.8425,203.5,,5.9,"1,854"
01-03-2003,130.148,3,4.1,395,5.745,204,,5.9,"1,757"
01-04-2003,130.884,2.2,4.1,458,5.8125,204.5,,6,"1,803"
01-05-2003,131.735,2.1,3.9,496,5.484,205,,6.1,"1,835"
01-06-2003,132.649,2.1,3.5,514,5.23,205.3,,6.3,"1,875"
01-07-2003,133.776,2.1,3.6,531,5.6325,205.8,,6.2,"1,885"
01-08-2003,134.968,2.2,3.5,549,6.264,206.2,,6.1,"1,966"
01-09-2003,136.294,2.3,3.8,499,6.1475,206.7,,6.1,"1,961"
01-10-2003,137.532,2,3.8,477,5.952,206.9,,6,"2,012"
01-11-2003,138.794,1.8,4.1,380,5.9325,207.4,,5.8,"1,918"
01-12-2003,140.18,1.9,4,420,5.876,207.7,100,5.7,"1,987"
01-01-2004,141.647,1.9,3.8,309,5.7125,208.1,102.5,5.7,"1,952"
01-02-2004,143.192,1.7,3.7,332,5.635,208.6,104.1,5.6,"1,966"
01-03-2004,145.058,1.7,3.6,457,5.445,209.1,105.1,5.8,"2,066"
01-04-2004,146.592,2.3,4,486,5.83,209.7,108.6,5.6,"2,070"
01-05-2004,148.185,3.1,3.8,500,6.27,210.3,107.7,5.6,"2,150"
01-06-2004,149.85,3.3,3.9,571,6.2875,210.9,108.7,5.6,"2,020"
01-07-2004,151.338,3,4.5,531,6.056,211.4,113.1,5.5,"2,112"
01-08-2004,152.633,2.7,4.3,526,5.8675,212,112.5,5.4,"2,056"
01-09-2004,154.179,2.5,4.1,472,5.754,212.5,115.5,5.4,"2,041"
01-10-2004,155.751,3.2,3.9,440,5.7225,212.8,110.6,5.5,"2,097"
01-11-2004,157.528,3.5,4.3,421,5.73,213.1,108.4,5.4,"2,079"
01-12-2004,159.331,3.3,4.1,441,5.752,213.7,108.1,5.4,"2,082"
01-01-2005,161.288,3,4.4,333,5.71,214.3,108.6,5.3,"2,139"
01-02-2005,163.344,3,4.3,352,5.6275,214.9,110.8,5.4,"2,114"
01-03-2005,165.812,3.1,4.1,479,5.928,215.4,110,5.2,"2,062"
01-04-2005,167.502,3.5,4.3,507,5.855,216,110.4,5.2,"2,150"
01-05-2005,169.351,2.8,4.2,542,5.72,216.5,106.9,5.1,"2,085"
01-06-2005,171.19,2.5,4.3,610,5.582,217,106.8,5,"2,178"
01-07-2005,172.86,3.2,4.2,557,5.695,217.7,106.6,5,"2,203"
01-08-2005,174.441,3.6,4.5,618,5.82,218.1,108.1,4.9,"2,219"
01-09-2005,176.437,4.7,4.7,554,5.774,218.7,111.2,5,"2,263"
01-10-2005,178.028,4.3,4.5,473,6.065,219.3,111.2,5,"2,170"
